название;цена;наличие;фотки
Сотовый телефон Philips Xenium V526 LTE синий;18390 сом;На складе;https://www.kivano.kg/images/product/27150/27150.jpg
Сотовый телефон BRAVIS A505 Joy Plus белый;7740 сом-2%7570 сом;На складе;https://www.kivano.kg/images/product/40544/40544.jpg
Сотовый телефон ASUS Fonepad Note 6 16Gb черный;37410 сом;На складе;https://www.kivano.kg/images/product/31395/31395.jpg
Смартфон iLife itell S500S серебристый;8540 сом-2%8370 сом;На складе;https://www.kivano.kg/images/product/19401/19401.jpg
Сотовый телефон Xiaomi Mi 11 Lite 5G 8/128GB черный;24020 сом;Уточняйте наличие;https://www.kivano.kg/images/product/92416/1635945551_75038600.jpg
Сотовый телефон Xiaomi Mi 11 8/128GB белый;61170 сом;Уточняйте наличие;https://www.kivano.kg/images/product/103426/1644986557_91258000.jpg
Сотовый телефон Xiaomi Mi 11 8/128GB голубой;61170 сом;Уточняйте наличие;https://www.kivano.kg/images/product/103427/1644986638_02806300.png
Сотовый телефон Xiaomi Black Shark 4 8/128GB серый;39070 сом;Уточняйте наличие;https://www.kivano.kg/images/product/103429/1644989557_05184500.jpg
Сотовый телефон Nokia 5310 (2020) Dual Sim черный;4410 сом;Уточняйте наличие;https://www.kivano.kg/images/product/85254/1603132115_66857000.jpg
Сотовый телефон Realme 8 Pro 6/128GB черный;22970 сом;Уточняйте наличие;https://www.kivano.kg/images/product/103430/1644991588_14887500.jpg
Сотовый телефон Nokia 5310 (2020) Dual Sim белый;4410 сом;Уточняйте наличие;https://www.kivano.kg/images/product/85255/1603132141_84330700.jpg
Сотовый телефон Realme 8 Pro 6/128GB темно-серый;22970 сом;Уточняйте наличие;https://www.kivano.kg/images/product/103431/1644991607_06679200.jpg
Сотовый телефон Philips Xenium E109 черный;2020 сом;Уточняйте наличие;https://www.kivano.kg/images/product/69896/69896.jpg
Сотовый телефон Realme C3 3/64GB серый;11530 сом;Уточняйте наличие;https://www.kivano.kg/images/product/85256/1603134442_04104000.jpg
Сотовый телефон Realme C25Y 4/64GB серый;12940 сом;Уточняйте наличие;https://www.kivano.kg/images/product/103432/1644992840_67224100.jpg
Сотовый телефон Realme C3 3/64GB голубой;11530 сом;Уточняйте наличие;https://www.kivano.kg/images/product/85257/1603134537_25368900.jpg
Сотовый телефон Realme C25Y 4/64GB голубой;12940 сом;Уточняйте наличие;https://www.kivano.kg/images/product/103433/1644992863_34538200.jpg
Сотовый телефон Nokia 210 черный;3970 сом;Уточняйте наличие;https://www.kivano.kg/images/product/69898/69898.jpg
Сотовый телефон Realme C3 3/64GB красный;11530 сом;Уточняйте наличие;https://www.kivano.kg/images/product/85258/1603134653_07826100.jpg
Сотовый телефон Xiaomi Redmi Note 11 6/128GB синий;17420 сом-2%17170 сом;Уточняйте наличие;https://www.kivano.kg/images/product/103434/1645002019_77390500.png
